epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1865.48,0.53111,0.50015,1.17051,0.98335,1,0.995,0.79302,0.95358,0.66007,1.92436,0.000466997,0.000466997,0.000466997
70,1899.41,0.57114,0.50941,1.18873,0.98367,1,0.995,0.77846,1.01023,0.66541,2.02719,0.00045285,0.00045285,0.00045285
71,1931.12,0.582,0.51317,1.16984,0.97634,1,0.995,0.78741,1.05898,0.65557,2.12618,0.000438703,0.000438703,0.000438703
72,1962.03,0.52411,0.49069,1.13644,0.97649,1,0.995,0.79461,1.04895,0.65714,2.07576,0.000424556,0.000424556,0.000424556
73,1987.8,0.5588,0.489,1.14111,0.98059,1,0.995,0.78361,1.03925,0.61538,2.07006,0.000410409,0.000410409,0.000410409
74,2013.07,0.52763,0.47099,1.12317,0.9801,1,0.995,0.79645,1.05631,0.60647,2.10868,0.000396262,0.000396262,0.000396262
75,2037.05,0.5321,0.48616,1.14304,0.98358,1,0.995,0.78695,1.0523,0.62402,2.09734,0.000382115,0.000382115,0.000382115
76,2063.84,0.5188,0.49136,1.11376,0.9867,1,0.995,0.76478,1.04526,0.63649,2.10629,0.000367967,0.000367967,0.000367967
77,2094.14,0.50726,0.46656,1.13421,0.98773,1,0.995,0.76478,1.02808,0.62635,2.08426,0.00035382,0.00035382,0.00035382
78,2124.03,0.53111,0.4749,1.16823,0.98684,1,0.995,0.77103,1.02069,0.6063,2.0824,0.000339673,0.000339673,0.000339673
79,2156.65,0.51052,0.45356,1.13601,0.97131,1,0.995,0.80075,0.97076,0.64456,2.00827,0.000325526,0.000325526,0.000325526
80,2187.35,0.47567,0.45826,1.10591,0.96389,1,0.995,0.789,0.91212,0.62328,1.93055,0.000311379,0.000311379,0.000311379
81,2214,0.4672,0.43817,1.08758,0.96381,1,0.995,0.80418,0.92069,0.63597,1.95196,0.000297232,0.000297232,0.000297232
82,2241.24,0.48334,0.44051,1.10182,0.96394,1,0.995,0.79041,0.98471,0.61968,1.9651,0.000283085,0.000283085,0.000283085
83,2268.32,0.49575,0.47263,1.11261,0.97931,1,0.995,0.7765,0.99258,0.62713,1.99952,0.000268938,0.000268938,0.000268938
84,2293.01,0.5304,0.46649,1.14337,0.9711,1,0.995,0.78749,0.9892,0.66341,2.03621,0.000254791,0.000254791,0.000254791
